Va,Vb,Vout,Resistance
2.5,5,-2.5,10000000
2.5,3.34,-0.85,20260.8
2.5,2.36,0.14,8975.34
2.5,2.04,0.46,6882.81
2.5,1.79,0.71,5578.98
2.5,1.63,0.86,4858.93
